name,weight,brand,img,cost,ingredients,categories,store_categories,barcodex,status,tax_class_id,visibility,manage_stock,stock_status_change_auto,use_confic_manage_stock,merchant,store,website,attribute_set,type,store_id
Pågen Gifflar Kanilsnúðar 260 g,260 g,Pågen,http://images.aha.is/image/upload/v1779457817/xb7c2d3ztg6urwwdoiva.png,344,"hveiti, vatn, sykur, jurtaolía (repja), púðursykur, hert jurtafita (kókos, repja), apríkósukjarni, umbreytt sterkja, kanill (0,7%), þykkjarefni (E440), salt, invertsykur, möndlur, undanrenna, ger, egg, lyftiefni (E450, E500), ýruefni (E471), rotvarnarefni (E200, E282), sýrustillir (E330), byggmalt",Verslun/Kornvörur/Kökur;;Flokkar/Matvara/Kornvörur/Kökur,Kornvörur,7311070346916,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Pågen Vanillas vanillukrem 220 g,220 g,Pågen,http://images.aha.is/image/upload/v1779458051/r9bxr24jzgnpkdexeki6.png,359,"hveiti, vatn, sykur, glúkósa-frúktósa síróp, jurtaolíur (repjuolía, kókosolía, sólblómaolía), mjólkurduft, egg, byggmalt, ger, salt, umbreytt kartöflusterkja, lyftiefni (E450, E500), ýruefni (E471), sýrustillar (E330, E332), litarefni (E160a, E170), stöðugleikaefni (E422, E460, E466), rotvarnarefni (E200, E202, E282), mjölmeðhöndlunarefni (askorbínsýra), vanillubragðefni, náttúrulegt vanillubragðefni",Verslun/Kornvörur/Kökur;;Flokkar/Matvara/Kornvörur/Kökur,Kornvörur,2374070006230,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Bónus Möndlukaka 470 g,470 g,Bónus,http://images.aha.is/image/upload/v1779458397/yl60ugoo5xd6rpas9jqz.png,698,"hveiti, sykur, egg, repjuolía, vatn, bindiefni (E422, E415), lyftiefni (E450, E500), möndlubragðefni, glúkósasíróp, ýruefni (E471, E475), hveitiprótein, salt, mjölmeðhöndlunarefni (E300), flórsykur, kartöflusterkja, litarefni (E120), ýruefni (E432), bragðefni",Verslun/Kornvörur/Kökur;;Flokkar/Matvara/Kornvörur/Kökur,Kornvörur,5690568020265,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Bónus Sítrónukaka 480 g,480 g,Bónus,http://images.aha.is/image/upload/v1779458664/bqezys3hckzy9srzy7qh.png,698,"hveiti, sykur, egg, repjuolía, sítrónublanda, glúkósasíróp, sítrónuþykkni, vatn, náttúruleg bragðefni, sítrustrefjar, bindiefni (E415, E422), lyftiefni (E450, E500), sítrónubragðefni, ýruefni (E471, E475), hveitiprótein, salt, mjölmeðhöndlunarefni (E300), flórsykur, kartöflusterkja, litarefni (E102, E110)",Verslun/Kornvörur/Kökur;;Flokkar/Matvara/Kornvörur/Kökur,Kornvörur,5690568020289,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Myllan Tækifæristerta Karamellu 600 g,600 g,Myllan,http://images.aha.is/image/upload/v1779459314/knybrb2yoyivieutgyxb.png,1459,"Karamellubotn, hveiti, sykur, egg, repjuolía, vatn, mysuduft (mjólk), umbreytt sterkja, lyftiefni, hveitisterkja, ýruefni, salt, hveitigluten, karamellusmjörkrem, flórsykur, smjör, karamella, smjörlíki, kartöflusterkja, mjólkursúkkulaði",Verslun/Kornvörur/Kökur;;Flokkar/Matvara/Kornvörur/Kökur,Kornvörur,5690568020715,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Bananar,,,http://images.aha.is/image/upload/v1779464925/l3nqesgtlx4gbdxwxrb0.png,123,Bananar,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,banani,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Banani,0.07 kg,,http://images.aha.is/image/upload/v1779465361/gydrbppzlzo13y0x8zpy.png,123,,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,banani,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Sambó Þristur 220 g,0.714 kg,Sambó,http://images.aha.is/image/upload/v1779470188/gtlsnolj4coxvecmwmzi.png,123,"Sykur, kakósmjör, glúkósasíróp, kakómassi, invert sykur, hveiti, fullhert jurtafeiti (pálmakjarna), nýmjólkurduft, undanrennuduft (úr mjólk), vatn, gelatín, salt, lakkrísrót, treacle síróp, ýruefni (repjulesitín, E442), ammóníumklóríð, litarefni (E153), bragðefni, vanillín, anisolía",Verslun/Sælgæti og snakk/Sælgæti;;Flokkar/Matvara/Sælgæti og snakk/Sælgæti,Sælgæti og snakk,2321745000000,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Sambó Þristur 94.7 g,94.7 g,Sambó,http://images.aha.is/image/upload/v1779470439/joy7ksenycfzvzv26wjw.png,123,"Sykur, kakósmjör, glúkósasíróp, kakómassi, invertsykur, hveiti, fullhert jurtafeiti (pálmakjarna), nýmjólkurduft, undanrennuduft (úr mjólk), vatn, gelatín, salt, lakkrísrót, treacle síróp, ýruefni (repjulesitín, E442), ammóníumklóríð, litarefni (E153), bragðefni, vanillín, anisolía",Verslun/Sælgæti og snakk/Sælgæti;;Flokkar/Matvara/Sælgæti og snakk/Sælgæti,Sælgæti og snakk,5690649006621,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Bananar,0.07 kg,,http://images.aha.is/image/upload/v1779470761/qok4axoiyk2igrun6lmk.png,123,,Verslun/Ávextir og Grænmeti/Ávextir;;Flokkar/Matvara/Ávextir og Grænmeti/Ávextir,Ávextir og Grænmeti,banani,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Sambó Þristur mjólkursúkkulaði með karamellu og lakkrísbitum 220 g,220 g,Sambó,http://images.aha.is/image/upload/v1779471239/q6iem0tdyfcuirxaljp7.png,123,"Sykur, kakósmjör, glúkósasíróp, kakómassi, invertsykur, hveiti, fullhert jurtafeiti (pálmakjarna), nýmjólkurduft, undanrennuduft (úr mjólk), vatn, gelatín, salt, lakkrísrót, treacle síróp, ýruefni (repjulesitín, E442), ammóníumklóríð, litarefni (E153), bragðefni, vanillín, anísolía",Verslun/Sælgæti og snakk/Sælgæti;;Flokkar/Matvara/Sælgæti og snakk/Sælgæti,Sælgæti og snakk,5690649006621,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
Sambó Þristur mjólkursúkkulaði með karamellu og lakkrísbitum 220 g,220 g,Sambó,http://images.aha.is/image/upload/v1779793057/wgp41f0bhbvxhew4nuhk.png,123,"Sykur, kakósmjör, glúkósasíróp, kakómassi, invert sykur, hveiti, fullhert jurtafeiti (pálmakjarna), nýmjólkurduft, undanrennuduft (úr mjólk), vatn, gelatín, salt, lakkrísrót, treacle síróp, ýruefni (repjulesitín, E442), ammóníumklóríð, litarefni (E153), bragðefni, vanillin, anisolía",Verslun/Sælgæti og snakk/Sælgæti;;Flokkar/Matvara/Sælgæti og snakk/Sælgæti,Sælgæti og snakk,5690649006621,1,6,4,0,1,0,9,admin,base,Store Item,virtual,0
